白蛾	bai e 
附赠品	fu zeng pin 
电池	dian chi 
美国华人	mei guo hua ren 
红包	hong bao 
连续剧	lian xu ju 
哲理	zhe li 
树叶	shu ye 
电话	dian hua 
录影机	lu ying ji 
西安	xi an 
好心	hao xin 
曼谷	man gu 
抗压性	kang ya xing 
马铃薯	ma ling shu 
杂志	za zhi 
温度	wen du 
亲戚	qin qi 
荷兰人	he lan ren 
抗日	kang ri 
假象	jia xiang 
女强人	nv qiang ren 
国文课	guo wen ke 
信件	xin jian 
蔬果	shu guo 
昆虫	kun chong 
师大附中	shi da fu zhong 
出家人	chu jia ren 
人民	ren min 
功夫片	gong fu pian 
长江	chang jiang 
调皮	tiao pi 
汉语	han yu 
宵夜	xiao ye 
土耳其	tu er qi 
青江	qing jiang 
电影	dian ying 
电玩	dian wan 
意思	yi si 
纤维	xian wei 
单人房	dan ren fang 
盒子	he zi 
睡衣	shui yi 
论文	lun wen 
右转	you zhuan 
汤尼	tang ni 
出租车	chu zu che 
摩斯	mo si 
新加坡政府	xin jia po zheng fu 
教师	jiao shi 
南韩	nan han 
源头	yuan tou 
上流社会	shang liu she hui 
主张	zhu zhang 
医疗	yi liao 
花都	hua dou 
猎人	lie ren 
员工	yuan gong 
澳洲	ao zhou 
泰语	tai yu 
台北市	tai bei shi 
地面	di mian 
权利	quan li 
热血	re xue 
新加坡	xin jia po 
状态	zhuang tai 
体制	ti zhi 
主持人	zhu chi ren 
逆境	ni jing 
衣物	yi wu 
领导人	ling dao ren 
月租	yue zu 
成分	cheng fen 
管道	guan dao 
卫生设备	wei sheng she bei 
圆山	yuan shan 
老家	lao jia 
学长	xue zhang 
光明	guang ming 
化学	hua xue 
马达	ma da 
前夫	qian fu 
晚班	wan ban 
音响	yin xiang 
大衣	da yi 
香味	xiang wei 
笑声	xiao sheng 
境界	jing jie 
国度	guo du 
二手烟	er shou yan 
温哥华	wen ge hua 
脖子	bo zi 
平地	ping di 
翅膀	chi bang 
精华	jing hua 
语调	yu diao 
患者	huan zhe 
枝叶	zhi ye 
专业	zhuan ye 
蒋介石	jiang jie shi 
绿油油	lv you you 
地铁	di tie 
佛教	fo jiao 
邮局	you ju 
意大利	yi da li 
证件	zheng jian 
音乐风格	yin yue feng ge 
包子	bao zi 
长辈	zhang bei 
朴金民	pu jin min 
秩序	zhi xu 
凉鞋	liang xie 
南美洲	nan mei zhou 
好孩子	hao hai zi 
学费	xue fei 
钟头	zhong tou 
师生关系	shi sheng guan xi 
日文	ri wen 
会议	hui yi 
医疗费	yi liao fei 
爱莎妮亚	ai sha ni ya 
糖醋鱼	tang cu yu 
经济社会	jing ji she hui 
游泳衣	you yong yi 
职业妇女	zhi ye fu nv 
佐贺	zuo he 
邮差	you chai 
交通费	jiao tong fei 
行程	xing cheng 
虾球	xia qiu 
晚会节目	wan hui jie mu 
话别	hua bie 
小草	xiao cao 
素菜	su cai 
人世间	ren shi jian 
研究生	yan jiu sheng 
英文系	ying wen xi 
佳芝	jia zhi 
监狱	jian yu 
香菜	xiang cai 
天明	tian ming 
铅笔	qian bi 
起司	qi si 
爱情片	ai qing pian 
时代	shi dai 
女主角	nv zhu jue 
师长	shi zhang 
拉斯维加斯	la si wei jia si 
法文	fa wen 
厄瓦	e wa 
天蓝色	tian lan se 
