授权	shou quan 
程序	cheng xu 
著作权	zhu zuo quan 
当选	dang xuan 
国家	guo jia 
违法	wei fa 
变更	bian geng 
安全装置	an quan zhuang zhi 
通过	tong guo 
强制执行	qiang zhi zhi xing 
优先权	you xian quan 
举行	ju xing 
抗诉	kang su 
部分	bu fen 
百分之八	bai fen zhi ba 
成文宪法	cheng wen xian fa 
拆除	chai chu 
被申请人	bei shen qing ren 
司法程序	si fa cheng xu 
被告人	bei gao ren 
权利义务	quan li yi wu 
允许	yun xu 
行政诉讼	xing zheng su song 
判决	pan jue 
主要	zhu yao 
立法法	li fa fa 
裁决	cai jue 
历史	li shi 
起算后	qi suan hou 
非法经营	fei fa jing ying 
信息网络	xin xi wang luo 
外交官	wai jiao guan 
再审	zai shen 
政治权利	zheng zhi quan li 
公司	gong si 
金融债券	jin rong zhai quan 
审计法	shen ji fa 
派遣	pai qian 
非常简单	fei chang jian dan 
公正	gong zheng 
公民	gong min 
宪法	xian fa 
法律文书	fa lv wen shu 
自治区	zi zhi qu 
常委会	chang wei hui 
改进	gai jin 
准确	zhun que 
司法制度	si fa zhi du 
民事	min shi 
存款	cun kuan 
司法解释	si fa jie shi 
范围	fan wei 
国际法院	guo ji fa yuan 
余额	yu e 
装货	zhuang huo 
委员会	wei yuan hui 
约束力	yue shu li 
债务人	zhai wu ren 
放弃	fang qi 
制度	zhi du 
管理人员	guan li ren yuan 
监督	jian du 
垄断	long duan 
设置	she zhi 
贷款	dai kuan 
证券交易	zheng quan jiao yi 
另行通知	ling xing tong zhi 
自治县	zi zhi xian 
抵押	di ya 
国境	guo jing 
选区	xuan qu 
自诉人	zi su ren 
货物	huo wu 
批准权	pi zhun quan 
完善	wan shan 
促进	cu jin 
联系	lian xi 
民族乡	min zu xiang 
仲裁员	zhong cai yuan 
破产	po chan 
国籍	guo ji 
至少	zhi shao 
没有	mei you 
国家机关	guo jia ji guan 
人民检察院	ren min jian cha yuan 
审查起诉	shen cha qi su 
化肥	hua fei 
选民	xuan min 
单行	dan xing 
判处死刑	pan chu si xing 
不足	bu zu 
性质	xing zhi 
阻碍	zu ai 
削减	xue jian 
明确	ming que 
当事人	dang shi ren 
民族自治	min zu zi zhi 
交易	jiao yi 
扣缴	kou jiao 
清楚	qing chu 
兼采	jian cai 
经济	jing ji 
职业道德	zhi ye dao de 
主张	zhu zhang 
缺席判决	que xi pan jue 
法律	fa lv 
习惯	xi guan 
推定	tui ding 
充足率	chong zu lv 
依法治国	yi fa zhi guo 
事实	shi shi 
行使	xing shi 
法定	fa ding 
法官	fa guan 
债券	zhai quan 
略低于	lve di yu 
产品	chan pin 
成立	cheng li 
请求权	qing qiu quan 
创立	chuang li 
转交	zhuan jiao 
检察院	jian cha yuan 
使用权	shi yong quan 
伪造	wei zao 
正式	zheng shi 
沿海	yan hai 
错误	cuo wu 
补充侦查	bu chong zhen cha 
重要	zhong yao 
包销	bao xiao 
具体	ju ti 
自由	zi you 
挪用公款	nuo yong gong kuan 
直接	zhi jie 
民法	min fa 
拒绝	ju jue 
汉堡	han bao 
构建	gou jian 
北洋政府	bei yang zheng fu 
保护	bao hu 
签订合同	qian ding he tong 
证人	zheng ren 
适用	shi yong 
公证员	gong zheng yuan 
个人所得税	ge ren suo de shui 
一审	yi shen 
录音	lu yin 
检务	jian wu 
整体	zheng ti 
正确	zheng que 
开皇	kai huang 
司法	si fa 
刑事责任	xing shi ze ren 
批准	pi zhun 
同意	tong yi 
说法	shuo fa 
下级	xia ji 
密切联系	mi qie lian xi 
仿效	fang xiao 
对于	dui yu 
企业	qi ye 
是否	shi fou 
包括	bao kuo 
表述	biao shu 
委托	wei tuo 
措施	cuo shi 
转变	zhuan bian 
书记员	shu ji yuan 
审判	shen pan 
方法	fang fa 
补充	bu chong 
仲裁庭	zhong cai ting 
使用	shi yong 
法律效力	fa lv xiao li 
纪律处分	ji lv chu fen 
直辖市	zhi xia shi 
抵触	di chu 
案件	an jian 
中国人民政治协商会议	zhong guo ren min zheng zhi xie shang hui yi 
专用权	zhuan yong quan 
猥亵罪	wei xie zui 
高级法院	gao ji fa yuan 
侵权行为	qin quan xing wei 
客票	ke piao 
法治	fa zhi 
计算	ji suan 
通信	tong xin 
检察长	jian cha zhang 
涂改	tu gai 
具有	ju you 
翻译	fan yi 
分为	fen wei 
司法权	si fa quan 
原件	yuan jian 
无国籍	wu guo ji 
国务委员	guo wu wei yuan 
不同	bu tong 
融资	rong zi 
自主性	zi zhu xing 
负责	fu ze 
税务	shui wu 
普通法	pu tong fa 
录像	lu xiang 
上诉	shang su 
维护	wei hu 
表决权	biao jue quan 
债权人	zhai quan ren 
地域	di yu 
未成年人	wei cheng nian ren 
方式	fang shi 
商业银行	shang ye yin hang 
纯粹	chun cui 
愿意	yuan yi 
董事	dong shi 
英国	ying guo 
参加	can jia 
买方	mai fang 
单位	dan wei 
提案	ti an 
人数	ren shu 
公开	gong kai 
主席团	zhu xi tuan 
法规	fa gui 
依法办案	yi fa ban an 
改变	gai bian 
理事国	li shi guo 
解除	jie chu 
管辖权	guan xia quan 
证券	zheng quan 
终止	zhong zhi 
同级	tong ji 
发行人	fa xing ren 
法律制裁	fa lv zhi cai 
中央军委	zhong yang jun wei 
正当	zheng dang 
最高人民法院	zui gao ren min fa yuan 
公告	gong gao 
政体	zheng ti 
第一审	di yi shen 
机构	ji gou 
党的领导	dang de ling dao 
根据	gen ju 
建账	jian zhang 
认罪	ren zui 
生效	sheng xiao 
价值	jia zhi 
二审	er shen 
出版物	chu ban wu 
刑事判决	xing shi pan jue 
国体	guo ti 
网上	wang shang 
司法机关	si fa ji guan 
院长	yuan zhang 
专门	zhuan men 
刑事犯罪	xing shi fan zui 
世界大同	shi jie da tong 
良好	liang hao 
有关	you guan 
必须	bi xu 
抗税	kang shui 
持续	chi xu 
全国人大常委会	quan guo ren da chang wei hui 
催告	cui gao 
国际惯例	guo ji guan li 
利益	li yi 
申请	shen qing 
制定	zhi ding 
知情人	zhi qing ren 
选项	xuan xiang 
同类产品	tong lei chan pin 
事务所	shi wu suo 
技术	ji shu 
通则	tong ze 
保险金	bao xian jin 
选举	xuan ju 
意义	yi yi 
公共卫生	gong gong wei sheng 
剥夺	bo duo 
统治	tong zhi 
采性	cai xing 
有限公司	you xian gong si 
法国	fa guo 
赌博罪	du bo zui 
条约	tiao yue 
渊源	yuan yuan 
采纳	cai na 
关于	guan yu 
民事法律	min shi fa lv 
船舶	chuan bo 
可以	ke yi 
权利	quan li 
财产	cai chan 
上级法院	shang ji fa yuan 
职能	zhi neng 
提出	ti chu 
中国籍	zhong guo ji 
海事	hai shi 
未成年	wei cheng nian 
行为人	xing wei ren 
撤消	che xiao 
社会主义	she hui zhu yi 
费用	fei yong 
付款	fu kuan 
民事案件	min shi an jian 
情形	qing xing 
禁止	jin zhi 
刑事诉讼	xing shi su song 
行政许可	xing zheng xu ke 
清偿	qing chang 
公安部队	gong an bu dui 
执法	zhi fa 
裁判	cai pan 
解释	jie shi 
复制件	fu zhi jian 
证明	zheng ming 
信用证	xin yong zheng 
保障	bao zhang 
情节严重	qing jie yan zhong 
体现	ti xian 
期间	qi jian 
非法	fei fa 
专用发票	zhuan yong fa piao 
撤销	che xiao 
一方	yi fang 
侵占	qin zhan 
秘密	mi mi 
人大常委会	ren da chang wei hui 
执行	zhi xing 
调整	tiao zheng 
遗嘱	yi zhu 
民事诉讼	min shi su song 
退税	tui shui 
出庭作证	chu ting zuo zheng 
正在	zheng zai 
依法	yi fa 
陈述	chen shu 
污染	wu ran 
陈宠传	chen chong chuan 
不能	bu neng 
律师资格	lv shi zi ge 
国务院	guo wu yuan 
作证	zuo zheng 
租赁	zu lin 
生产	sheng chan 
有期徒刑	you qi tu xing 
盗窃	dao qie 
全国人民代表大会常务委员会	quan guo ren min dai biao da hui chang wu wei yuan hui 
支票	zhi piao 
侵犯	qin fan 
集体合同	ji ti he tong 
主体	zhu ti 
不服	bu fu 
请求	qing qiu 
书证	shu zheng 
权威	quan wei 
撤回抗诉	che hui kang su 
竞争	jing zheng 
关系人	guan xi ren 
违约	wei yue 
或者	huo zhe 
犯罪	fan zui 
中华人民	zhong hua ren min 
人民法院	ren min fa yuan 
秘书长	mi shu zhang 
公示	gong shi 
应当	ying dang 
财物	cai wu 
法院	fa yuan 
不合理	bu he li 
参加者	can jia zhe 
赔偿义务	pei chang yi wu 
承担	cheng dan 
保证	bao zheng 
纳税	na shui 
下列	xia lie 
删节	shan jie 
事业	shi ye 
公共利益	gong gong li yi 
计算机程序	ji suan ji cheng xu 
中华人民共和国	zhong hua ren min gong he guo 
债务	zhai wu 
财团法人	cai tuan fa ren 
要约	yao yue 
地方	di fang 
已经	yi jing 
简易程序	jian yi cheng xu 
民事责任	min shi ze ren 
教唆	jiao suo 
社会化	she hui hua 
武装力量	wu zhuang li liang 
内容	nei rong 
回避	hui bi 
组织	zu zhi 
民法典	min fa dian 
机关	ji guan 
原则	yuan ze 
涉外	she wai 
职业	zhi ye 
不得	bu de 
劳动者	lao dong zhe 
执行权	zhi xing quan 
管理	guan li 
执法为民	zhi fa wei min 
合议庭	he yi ting 
货币	huo bi 
确定	que ding 
天罚	tian fa 
常务会议	chang wu hui yi 
处罚金	chu fa jin 
故意	gu yi 
美国	mei guo 
争议	zheng yi 
诉讼	su song 
原审	yuan shen 
风险	feng xian 
行政处罚法	xing zheng chu fa fa 
贸易	mao yi 
环境	huan jing 
继承	ji cheng 
侧重	ce zhong 
能否	neng fou 
视听资料	shi ting zi liao 
宣告	xuan gao 
承销	cheng xiao 
体系	ti xi 
立遗嘱	li yi zhu 
全国人大	quan guo ren da 
村民	cun min 
根本	gen ben 
规范	gui fan 
参赌	can du 
英美法	ying mei fa 
会议	hui yi 
问题	wen ti 
归纳推理	gui na tui li 
明知	ming zhi 
偷越	tou yue 
质物	zhi wu 
缔结	di jie 
制品	zhi pin 
侦查	zhen cha 
成为	cheng wei 
关联性	guan lian xing 
专利权	zhuan li quan 
秩序	zhi xu 
共同	gong tong 
判断	pan duan 
检察机关	jian cha ji guan 
人民政府	ren min zheng fu 
香港特别行政区	xiang gang te bie xing zheng qu 
国际性	guo ji xing 
解除合同	jie chu he tong 
协议	xie yi 
开庭	kai ting 
归还	gui huan 
模式	mo shi 
辩护	bian hu 
过程	guo cheng 
刑罚	xing fa 
地方性	di fang xing 
复制品	fu zhi pin 
落实	luo shi 
内在	nei zai 
人民代表大会	ren min dai biao da hui 
证券公司	zheng quan gong si 
一方面	yi fang mian 
副检察长	fu jian cha zhang 
刑事	xing shi 
深入	shen ru 
合同	he tong 
兑付	dui fu 
演绎推理	yan yi tui li 
选票	xuan piao 
特点	te dian 
缴纳	jiao na 
审查	shen cha 
专指	zhuan zhi 
政府	zheng fu 
不全	bu quan 
一项	yi xiang 
组织者	zu zhi zhe 
检察	jian cha 
不尽	bu jin 
诉讼法	su song fa 
可能	ke neng 
达到	da dao 
委托书	wei tuo shu 
原物	yuan wu 
质量标准	zhi liang biao zhun 
止付	zhi fu 
退回	tui hui 
行政复议	xing zheng fu yi 
过半数	guo ban shu 
市场经济	shi chang jing ji 
辩论	bian lun 
该证据	gai zheng ju 
采购	cai gou 
伤害案	shang hai an 
配偶	pei ou 
让步	rang bu 
行政	xing zheng 
告知	gao zhi 
履行	lv xing 
特别	te bie 
进行	jin xing 
裁定	cai ding 
要求	yao qiu 
自治州	zi zhi zhou 
行为	xing wei 
受到	shou dao 
自治	zi zhi 
规定	gui ding 
律师	lv shi 
证据	zheng ju 
仲裁	zhong cai 
调解	tiao jie 
犯罪行为	fan zui xing wei 
有限责任	you xian ze ren 
制作	zhi zuo 
缓期	huan qi 
