当然	dang ran 
愿意	yuan yi 
裁决	cai jue 
开庭	kai ting 
赌博罪	du bo zui 
无偿	wu chang 
债权	zhai quan 
客运	ke yun 
他人	ta ren 
补充	bu chong 
应当	ying dang 
问题	wen ti 
保卫	bao wei 
嫌疑人	xian yi ren 
纳税人	na shui ren 
行为	xing wei 
过半数	guo ban shu 
社会化	she hui hua 
运费	yun fei 
意思	yi si 
合法性	he fa xing 
风险	feng xian 
委员会	wei yuan hui 
男子	nan zi 
允许	yun xu 
农村土地	nong cun tu di 
自治权	zi zhi quan 
解除	jie chu 
利益	li yi 
形态	xing tai 
采性	cai xing 
遗嘱	yi zhu 
情形	qing xing 
特殊	te shu 
未成年人	wei cheng nian ren 
援引	yuan yin 
对象	dui xiang 
卸货	xie huo 
第一审	di yi shen 
立遗嘱	li yi zhu 
股东大会	gu dong da hui 
术语	shu yu 
开庭审理	kai ting shen li 
牵连	qian lian 
非常简单	fei chang jian dan 
公示	gong shi 
文件	wen jian 
一律	yi lv 
必须	bi xu 
造成	zao cheng 
刑事诉讼法	xing shi su song fa 
发行人	fa xing ren 
民事诉讼	min shi su song 
质押	zhi ya 
哪项	na xiang 
工商行政	gong shang hang zheng 
组织者	zu zhi zhe 
认缴	ren jiao 
签订合同	qian ding he tong 
见证人	jian zheng ren 
非法	fei fa 
原物	yuan wu 
特点	te dian 
国际法院	guo ji fa yuan 
平等	ping deng 
开皇	kai huang 
过渡性	guo du xing 
货物	huo wu 
录音	lu yin 
法律条文	fa lv tiao wen 
转交	zhuan jiao 
律师	lv shi 
专门	zhuan men 
授权	shou quan 
血统	xue tong 
赔偿义务	pei chang yi wu 
关于	guan yu 
依法	yi fa 
付款人	fu kuan ren 
提请	ti qing 
参加者	can jia zhe 
必要	bi yao 
申请材料	shen qing cai liao 
归纳推理	gui na tui li 
补充侦查	bu chong zhen cha 
陪审员	pei shen yuan 
犯罪行为	fan zui xing wei 
方略	fang lve 
人数	ren shu 
装货	zhuang huo 
证据	zheng ju 
给予	ji yu 
纷繁	fen fan 
采用	cai yong 
婚姻制度	hun yin zhi du 
普通法	pu tong fa 
纲常	gang chang 
权证	quan zheng 
举行	ju xing 
分为	fen wei 
国际公约	guo ji gong yue 
挪用公款	nuo yong gong kuan 
产业	chan ye 
太原市	tai yuan shi 
固定	gu ding 
科学技术	ke xue ji shu 
纳税	na shui 
精确	jing que 
国际贸易	guo ji mao yi 
发展	fa zhan 
物证	wu zheng 
期间	qi jian 
机构	ji gou 
正在	zheng zai 
行政许可	xing zheng xu ke 
投票	tou piao 
调解	tiao jie 
辩论	bian lun 
请求权	qing qiu quan 
当选	dang xuan 
无权	wu quan 
确定	que ding 
最后	zui hou 
行政处罚	xing zheng chu fa 
财产	cai chan 
社会	she hui 
启动	qi dong 
经济	jing ji 
范围	fan wei 
除权	chu quan 
組织	zu zhi 
行为人	xing wei ren 
刑期	xing qi 
陈述	chen shu 
受理	shou li 
自治	zi zhi 
准予	zhun yu 
根本	gen ben 
法律	fa lv 
债券	zhai quan 
财团法人	cai tuan fa ren 
撤销	che xiao 
高级法院	gao ji fa yuan 
委托书	wei tuo shu 
公法	gong fa 
法律责任	fa lv ze ren 
可以	ke yi 
机关	ji guan 
查阅	cha yue 
手续	shou xu 
公证员	gong zheng yuan 
本人	ben ren 
审判	shen pan 
共同	gong tong 
改进	gai jin 
众多	zhong duo 
公司法	gong si fa 
法人	fa ren 
劳动者	lao dong zhe 
司法	si fa 
人员	ren yuan 
提出	ti chu 
审理	shen li 
天命	tian ming 
处理	chu li 
污染	wu ran 
采纳	cai na 
致使	zhi shi 
限制	xian zhi 
正式	zheng shi 
措施	cuo shi 
评价	ping jia 
接受	jie shou 
一审	yi shen 
反倾销	fan qing xiao 
世界贸易组织	shi jie mao yi zu zhi 
司法制度	si fa zhi du 
执行	zhi xing 
诉讼时效	su song shi xiao 
专用权	zhuan yong quan 
深入	shen ru 
设定	she ding 
质询	zhi xun 
个人所得税	ge ren suo de shui 
事实	shi shi 
催告	cui gao 
守法	shou fa 
组成	zu cheng 
盗窃	dao qie 
方式	fang shi 
英美法	ying mei fa 
检察官	jian cha guan 
选举	xuan ju 
事业	shi ye 
仲裁庭	zhong cai ting 
人民检察院	ren min jian cha yuan 
犯罪	fan zui 
规定	gui ding 
成文宪法	cheng wen xian fa 
不合理	bu he li 
方法	fang fa 
协商	xie shang 
最高人民检察院	zui gao ren min jian cha yuan 
宣告	xuan gao 
单位	dan wei 
体系	ti xi 
网络	wang luo 
货币	huo bi 
附带	fu dai 
以厂	yi chang 
柔性	rou xing 
不同	bu tong 
原则	yuan ze 
常委会	chang wei hui 
债务人	zhai wu ren 
推定	tui ding 
假药	jia yao 
技术	ji shu 
充分	chong fen 
下届	xia jie 
赌博	du bo 
交易	jiao yi 
哪一	na yi 
证券	zheng quan 
议定书	yi ding shu 
民族自治	min zu zi zhi 
融券	rong quan 
直辖市	zhi xia shi 
案件	an jian 
一方面	yi fang mian 
裁定	cai ding 
有权	you quan 
执业	zhi ye 
付款	fu kuan 
不足	bu zu 
规范	gui fan 
终止	zhong zhi 
一律平等	yi lv ping deng 
碰撞	peng zhuang 
投资人	tou zi ren 
刑之所取	xing zhi suo qu 
村民	cun min 
隐匿	yin ni 
撤消	che xiao 
表决权	biao jue quan 
录像	lu xiang 
草案	cao an 
抵触	di chu 
现实生活	xian shi sheng huo 
法规	fa gui 
召集	zhao ji 
赔偿	pei chang 
内容	nei rong 
婚姻	hun yin 
经营权	jing ying quan 
一般	yi ban 
卖方	mai fang 
要求	yao qiu 
创造	chuang zao 
地方	di fang 
特别	te bie 
渊源	yuan yuan 
信息	xin xi 
达到	da dao 
之日起	zhi ri qi 
存款	cun kuan 
刑事责任	xing shi ze ren 
英国	ying guo 
退回	tui hui 
设立	she li 
补缴	bu jiao 
错误	cuo wu 
行政案件	xing zheng an jian 
同意	tong yi 
受到	shou dao 
费用	fei yong 
第二审	di er shen 
成为	cheng wei 
人民法院	ren min fa yuan 
行使	xing shi 
支票	zhi piao 
民事法律	min shi fa lv 
司法权	si fa quan 
沿海	yan hai 
辩护	bian hu 
由受	you shou 
仲裁员	zhong cai yuan 
侦查	zhen cha 
登记	deng ji 
法国	fa guo 
关联性	guan lian xing 
准确	zhun que 
良好	liang hao 
认罪	ren zui 
依据	yi ju 
司法程序	si fa cheng xu 
不得	bu de 
被申请人	bei shen qing ren 
兑付	dui fu 
职能	zhi neng 
承销	cheng xiao 
行政法	xing zheng fa 
制品	zhi pin 
具体	ju ti 
国务院法制办	guo wu yuan fa zhi ban 
产品	chan pin 
刑事诉讼	xing shi su song 
保全	bao quan 
典型	dian xing 
自治州	zi zhi zhou 
调整	tiao zheng 
诉讼法	su song fa 
死亡	si wang 
独立	du li 
代理	dai li 
担任	dan ren 
内国	nei guo 
包销	bao xiao 
中央军委	zhong yang jun wei 
原件	yuan jian 
垄断	long duan 
刑事	xing shi 
采购	cai gou 
签章	qian zhang 
一方	yi fang 
提案	ti an 
支出	zhi chu 
统治	tong zhi 
健康	jian kang 
参赌	can du 
作出	zuo chu 
未成年	wei cheng nian 
民事行为	min shi xing wei 
一种	yi zhong 
说法	shuo fa 
审查	shen cha 
国际货物	guo ji huo wu 
翻译	fan yi 
符合	fu he 
条件	tiao jian 
有效	you xiao 
国际性	guo ji xing 
每日	mei ri 
自诉	zi su 
归还	gui huan 
侵占	qin zhan 
责任	ze ren 
职业	zhi ye 
基本权利	ji ben quan li 
法官	fa guan 
无国籍	wu guo ji 
止付	zhi fu 
演绎推理	yan yi tui li 
条约	tiao yue 
政治权利	zheng zhi quan li 
异议	yi yi 
进口产品	jin kou chan pin 
工商管理	gong shang guan li 
民事	min shi 
环境	huan jing 
公正	gong zheng 
开始	kai shi 
依靠	yi kao 
变造	bian zao 
理事国	li shi guo 
自首	zi shou 
模式	mo shi 
汉堡	han bao 
法院	fa yuan 
固有	gu you 
契约	qi yue 
作证	zuo zheng 
部门	bu men 
定罪	ding zui 
党的领导	dang de ling dao 
检务	jian wu 
到庭	dao ting 
武装力量	wu zhuang li liang 
包括	bao kuo 
民事案件	min shi an jian 
性质	xing zhi 
行使职权	xing shi zhi quan 
建设者	jian she zhe 
通过	tong guo 
已经	yi jing 
诉讼	su song 
合议庭	he yi ting 
缔约	di yue 
涉外	she wai 
侵犯	qin fan 
创立	chuang li 
参加	can jia 
根据	gen ju 
前提	qian ti 
如何	ru he 
政府	zheng fu 
非常任	fei chang ren 
委托	wei tuo 
另行通知	ling xing tong zhi 
刑事判决	xing shi pan jue 
保障	bao zhang 
意义	yi yi 
纯粹	chun cui 
伤害案	shang hai an 
唐律	tang lv 
自诉人	zi su ren 
判断	pan duan 
继承	ji cheng 
扣押	kou ya 
阻碍	zu ai 
剥夺	bo duo 
租赁	zu lin 
刑事犯罪	xing shi fan zui 
国家	guo jia 
发生	fa sheng 
职业道德	zhi ye dao de 
本案	ben an 
伪造	wei zao 
理念	li nian 
企业	qi ye 
存款人	cun kuan ren 
死刑	si xing 
国务院	guo wu yuan 
诉讼请求	su song qing qiu 
依法治国	yi fa zhi guo 
适用范围	shi yong fan wei 
历史	li shi 
近代	jin dai 
让步	rang bu 
促进	cu jin 
财物	cai wu 
充足率	chong zu lv 
法律制裁	fa lv zhi cai 
拒不执行	ju bu zhi xing 
代为	dai wei 
责任人员	ze ren ren yuan 
船舶	chuan bo 
公共卫生	gong gong wei sheng 
作为	zuo wei 
相对	xiang dui 
法律文书	fa lv wen shu 
视听资料	shi ting zi liao 
债务	zhai wu 
检察长	jian cha zhang 
罗马法	luo ma fa 
批准	pi zhun 
民法	min fa 
书记员	shu ji yuan 
故意	gu yi 
增强	zeng qiang 
规章	gui zhang 
商标	shang biao 
密切联系	mi qie lian xi 
专利权	zhuan li quan 
相关性	xiang guan xing 
私人	si ren 
发达国家	fa da guo jia 
程序	cheng xu 
