证据	zheng ju 
二年	er nian 
高级法院	gao ji fa yuan 
国务委员	guo wu wei yuan 
法官	fa guan 
法律案	fa lv an 
人民检察院	ren min jian cha yuan 
扣缴	kou jiao 
方略	fang lve 
违法	wei fa 
整体	zheng ti 
事务性	shi wu xing 
发达国家	fa da guo jia 
告知	gao zhi 
准备	zhun bei 
销售	xiao shou 
合议庭	he yi ting 
司法	si fa 
通过	tong guo 
措施	cuo shi 
范围	fan wei 
发展	fa zhan 
自认	zi ren 
证人	zheng ren 
协议	xie yi 
国体	guo ti 
开庭审理	kai ting shen li 
具备	ju bei 
合同	he tong 
正犯	zheng fan 
能否	neng fou 
建设者	jian she zhe 
犯罪事实	fan zui shi shi 
另行	ling xing 
无期徒刑	wu qi tu xing 
体现	ti xian 
抵押	di ya 
赌博罪	du bo zui 
承运人	cheng yun ren 
派遣	pai qian 
有关	you guan 
复制件	fu zhi jian 
证券	zheng quan 
未成年人	wei cheng nian ren 
地守持	di shou chi 
罗马法	luo ma fa 
保证	bao zheng 
之间	zhi jian 
由受	you shou 
知情人	zhi qing ren 
保险金	bao xian jin 
渊源	yuan yuan 
下列	xia lie 
风格	feng ge 
制作	zhi zuo 
司法制度	si fa zhi du 
历史	li shi 
描述	miao shu 
应当	ying dang 
改嫁	gai jia 
重要	zhong yao 
依法治国	yi fa zhi guo 
不得	bu de 
法治	fa zhi 
裁判	cai pan 
质询	zhi xun 
自治县	zi zhi xian 
起算后	qi suan hou 
造成	zao cheng 
刑事诉讼	xing shi su song 
主要	zhu yao 
草案	cao an 
认证	ren zheng 
外交官	wai jiao guan 
叙述	xu shu 
公证机关	gong zheng ji guan 
届满	jie man 
设置	she zhi 
下届	xia jie 
北齐	bei qi 
开庭	kai ting 
代理	dai li 
外国人	wai guo ren 
请求权	qing qiu quan 
受到	shou dao 
秘书长	mi shu zhang 
过半数	guo ban shu 
执业	zhi ye 
公开	gong kai 
嫌疑人	xian yi ren 
性质	xing zhi 
国际惯例	guo ji guan li 
签订合同	qian ding he tong 
审理	shen li 
婚姻	hun yin 
和谐一致	he xie yi zhi 
审判员	shen pan yuan 
刑罚	xing fa 
公证员	gong zheng yuan 
条约	tiao yue 
中华人民共和国	zhong hua ren min gong he guo 
案以	an yi 
全国人大常委会	quan guo ren da chang wei hui 
约束力	yue shu li 
组成	zu cheng 
契约	qi yue 
司法解释	si fa jie shi 
情形	qing xing 
享有	xiang you 
知识产权	zhi shi chan quan 
政治权利	zheng zhi quan li 
普通法	pu tong fa 
委托合同	wei tuo he tong 
汉书	han shu 
财产	cai chan 
判断	pan duan 
教唆	jiao suo 
人大常委会	ren da chang wei hui 
固有	gu you 
直接	zhi jie 
船舶	chuan bo 
犯罪行为	fan zui xing wei 
理事国	li shi guo 
最初	zui chu 
秘密	mi mi 
被告	bei gao 
质物	zhi wu 
生产	sheng chan 
我国	wo guo 
原审	yuan shen 
内国	nei guo 
最后	zui hou 
行使职权	xing shi zhi quan 
捐赠	juan zeng 
全国人民代表大会常务委员会	quan guo ren min dai biao da hui chang wu wei yuan hui 
公民	gong min 
犯罪	fan zui 
辩护律师	bian hu lv shi 
非常简单	fei chang jian dan 
责任	ze ren 
遵守	zun shou 
个人所得税	ge ren suo de shui 
协商	xie shang 
正当	zheng dang 
适用范围	shi yong fan wei 
缴纳	jiao na 
审查	shen cha 
不尽	bu jin 
第一审	di yi shen 
表决权	biao jue quan 
反倾销	fan qing xiao 
哪些	nei xie 
处理	chu li 
公司	gong si 
习惯法	xi guan fa 
公证	gong zheng 
补缴	bu jiao 
法定代理	fa ding dai li 
陈述	chen shu 
保险费	bao xian fei 
作品	zuo pin 
参赌	can du 
劳动者	lao dong zhe 
增强	zeng qiang 
客观性	ke guan xing 
单位	dan wei 
出版物	chu ban wu 
判处死刑	pan chu si xing 
网络	wang luo 
通信	tong xin 
文学作品	wen xue zuo pin 
非常任	fei chang ren 
法院	fa yuan 
必然	bi ran 
民族乡	min zu xiang 
教育	jiao yu 
当事人	dang shi ren 
侵权行为	qin quan xing wei 
工商行政	gong shang hang zheng 
部分	bu fen 
纲常	gang chang 
主席	zhu xi 
继承	ji cheng 
照片	zhao pian 
一方	yi fang 
实务	shi wu 
该证据	gai zheng ju 
部门	bu men 
职业	zhi ye 
作为	zuo wei 
采用	cai yong 
天命	tian ming 
证券公司	zheng quan gong si 
二审	er shen 
翻译	fan yi 
一方面	yi fang mian 
组织	zu zhi 
刑事犯罪	xing shi fan zui 
装货	zhuang huo 
致使	zhi shi 
建账	jian zhang 
专门	zhuan men 
转让	zhuan rang 
代为	dai wei 
以上	yi shang 
诉讼法	su song fa 
信息	xin xi 
管理	guan li 
违约	wei yue 
使用	shi yong 
小时	xiao shi 
关联性	guan lian xing 
利益	li yi 
事业	shi ye 
伪造	wei zao 
附带	fu dai 
清偿	qing chang 
事项	shi xiang 
申诉	shen su 
常委会	chang wei hui 
社会主义	she hui zhu yi 
国籍	guo ji 
商标	shang biao 
卖方	mai fang 
涉外	she wai 
被告人	bei gao ren 
国务院	guo wu yuan 
拘留	ju liu 
公告	gong gao 
刊登	kan deng 
赔偿	pei chang 
证券交易	zheng quan jiao yi 
登记	deng ji 
纳税人	na shui ren 
中央军事委员会	zhong yang jun shi wei yuan hui 
情事	qing shi 
权利	quan li 
上诉	shang su 
上届	shang jie 
意义	yi yi 
术语	shu yu 
水果	shui guo 
投票	tou piao 
审计法	shen ji fa 
撤消	che xiao 
以厂	yi chang 
案件	an jian 
手续	shou xu 
环境保护	huan jing bao hu 
成立	cheng li 
依靠	yi kao 
进口产品	jin kou chan pin 
执法为民	zhi fa wei min 
是否	shi fou 
审理案件	shen li an jian 
到庭	dao ting 
拘传	ju chuan 
主席团	zhu xi tuan 
特点	te dian 
全国人大	quan guo ren da 
承担	cheng dan 
辨认	bian ren 
债务	zhai wu 
世界大同	shi jie da tong 
第一款	di yi kuan 
通则	tong ze 
不合理	bu he li 
原则	yuan ze 
环境	huan jing 
行政许可	xing zheng xu ke 
院长	yuan zhang 
目的	mu di 
具有	ju you 
抗税	kang shui 
机关	ji guan 
审判	shen pan 
死刑	si xing 
依法办案	yi fa ban an 
意思	yi si 
民族自治	min zu zi zhi 
有限责任	you xian ze ren 
维护	wei hu 
删节	shan jie 
给予	ji yu 
认罪	ren zui 
刑事诉讼法	xing shi su song fa 
条件	tiao jian 
检务	jian wu 
民法典	min fa dian 
行政案件	xing zheng an jian 
管理人员	guan li ren yuan 
众多	zhong duo 
人民法院	ren min fa yuan 
持续	chi xu 
企业	qi ye 
密切联系	mi qie lian xi 
成年人	cheng nian ren 
无权	wu quan 
表述	biao shu 
演绎推理	yan yi tui li 
成文宪法	cheng wen xian fa 
创造	chuang zao 
一律平等	yi lv ping deng 
民事案件	min shi an jian 
没收	mo shou 
承保	cheng bao 
关于	guan yu 
重审	chong shen 
社会秩序	she hui zhi xu 
采购	cai gou 
说法	shuo fa 
落实	luo shi 
论述	lun shu 
职权	zhi quan 
工人	gong ren 
实施	shi shi 
模式	mo shi 
爱国统一战线	ai guo tong yi zhan xian 
再审	zai shen 
纪律处分	ji lv chu fen 
缓期	huan qi 
宣判	xuan pan 
协调	xie tiao 
法律	fa lv 
签署	qian shu 
检察长	jian cha zhang 
中国籍	zhong guo ji 
调解	tiao jie 
侵占	qin zhan 
兼采	jian cai 
事务所	shi wu suo 
包销	bao xiao 
保障	bao zhang 
国际	guo ji 
常务会议	chang wu hui yi 
道德	dao de 
信用证	xin yong zheng 
根据	gen ju 
检察	jian cha 
平等	ping deng 
发展中国家	fa zhan zhong guo jia 
符合	fu he 
不足	bu zu 
撤销	che xiao 
不全	bu quan 
秩序	zhi xu 
撤回抗诉	che hui kang su 
人员	ren yuan 
竞争	jing zheng 
公共事务	gong gong shi wu 
自觉遵守	zi jue zun shou 
包括	bao kuo 
至少	zhi shao 
遗嘱	yi zhu 
刑事判决	xing shi pan jue 
担任	dan ren 
反倾销税	fan qing xiao shui 
国际性	guo ji xing 
中国人民政治协商会议	zhong guo ren min zheng zhi xie shang hui yi 
未满	wei man 
变造	bian zao 
规范	gui fan 
或者	huo zhe 
领导	ling dao 
非法	fei fa 
买方	mai fang 
一审	yi shen 
汉堡	han bao 
发行人	fa xing ren 
有效	you xiao 
化肥	hua fei 
错误	cuo wu 
法律条文	fa lv tiao wen 
刑之所取	xing zhi suo qu 
兑付	dui fu 
宣告	xuan gao 
程序	cheng xu 
英国法	ying guo fa 
抵触	di chu 
国际公约	guo ji gong yue 
统治	tong zhi 
合理	he li 
有期徒刑	you qi tu xing 
执法	zhi fa 
单行	dan xing 
归纳	gui na 
美国	mei guo 
故意	gu yi 
选票	xuan piao 
检察院	jian cha yuan 
负责	fu ze 
理念	li nian 
现实生活	xian shi sheng huo 
