文学作品	wen xue zuo pin 
公司法	gong si fa 
不服	bu fu 
情节严重	qing jie yan zhong 
承担	cheng dan 
监督	jian du 
英美法	ying mei fa 
拒绝	ju jue 
以上	yi shang 
愿意	yuan yi 
实事求是	shi shi qiu shi 
检察官	jian cha guan 
变造	bian zao 
网络	wang luo 
英国法	ying guo fa 
具备	ju bei 
辩护	bian hu 
为辅	wei fu 
废止	fei zhi 
纯粹	chun cui 
太原市	tai yuan shi 
有效	you xiao 
副检察长	fu jian cha zhang 
处理	chu li 
法人	fa ren 
申请	shen qing 
检务	jian wu 
固有	gu you 
自首	zi shou 
地方性	di fang xing 
签发	qian fa 
封建	feng jian 
交易	jiao yi 
自认	zi ren 
解释	jie shi 
协议	xie yi 
可以	ke yi 
说法	shuo fa 
履行	lv xing 
债务	zhai wu 
下列	xia lie 
继续执行	ji xu zhi xing 
规章	gui zhang 
有限责任	you xian ze ren 
使用权	shi yong quan 
推理	tui li 
制作	zhi zuo 
国家	guo jia 
污染	wu ran 
法治	fa zhi 
第一审	di yi shen 
同类产品	tong lei chan pin 
担保	dan bao 
开庭	kai ting 
客运	ke yun 
司法机关	si fa ji guan 
公司	gong si 
法院	fa yuan 
提起	ti qi 
什么	shen me 
关联性	guan lian xing 
人大代表	ren da dai biao 
法律制裁	fa lv zhi cai 
有关	you guan 
一般	yi ban 
赔偿义务	pei chang yi wu 
运费	yun fei 
适用	shi yong 
被告人	bei gao ren 
达到	da dao 
投资人	tou zi ren 
有限公司	you xian gong si 
正在	zheng zai 
气体	qi ti 
目的	mu di 
政体	zheng ti 
未作	wei zuo 
典型	dian xing 
支票	zhi piao 
管理条例	guan li tiao li 
标的	biao di 
公开	gong kai 
补充侦查	bu chong zhen cha 
行政法	xing zheng fa 
生产	sheng chan 
特别	te bie 
承销	cheng xiao 
依靠	yi kao 
过渡性	guo du xing 
普通法	pu tong fa 
化肥	hua fei 
出庭作证	chu ting zuo zheng 
退回	tui hui 
犯罪行为	fan zui xing wei 
诉讼法	su song fa 
评价	ping jia 
民事责任	min shi ze ren 
机构	ji gou 
捐赠	juan zeng 
规定	gui ding 
方法	fang fa 
财产权	cai chan quan 
世界大同	shi jie da tong 
异议	yi yi 
选区	xuan qu 
自治区	zi zhi qu 
现行法	xian xing fa 
集体合同	ji ti he tong 
证券	zheng quan 
教育	jiao yu 
裁定	cai ding 
具体	ju ti 
理念	li nian 
伤害案	shang hai an 
程序	cheng xu 
争议	zheng yi 
抗诉	kang su 
社会秩序	she hui zhi xu 
判决	pan jue 
不全	bu quan 
撤销	che xiao 
国际公约	guo ji gong yue 
弱势群体	ruo shi qun ti 
辨认	bian ren 
司法程序	si fa cheng xu 
法定代理	fa ding dai li 
行政诉讼	xing zheng su song 
准据法	zhun ju fa 
证人	zheng ren 
建立	jian li 
人大常委会	ren da chang wei hui 
高级法院	gao ji fa yuan 
包括	bao kuo 
货物	huo wu 
至少	zhi shao 
风险	feng xian 
赌博罪	du bo zui 
催告	cui gao 
没有	mei you 
纳税人	na shui ren 
会议	hui yi 
立法法	li fa fa 
柔性	rou xing 
国务院法制办	guo wu yuan fa zhi ban 
事项	shi xiang 
公法	gong fa 
全国人民代表大会常务委员会	quan guo ren min dai biao da hui chang wu wei yuan hui 
未满	wei man 
代理	dai li 
专利权	zhuan li quan 
领导	ling dao 
社会主义	she hui zhu yi 
事务所	shi wu suo 
权利	quan li 
权利能力	quan li neng li 
附带	fu dai 
武装力量	wu zhuang li liang 
婚姻	hun yin 
受到	shou dao 
致使	zhi shi 
义务	yi wu 
行为	xing wei 
纪律处分	ji lv chu fen 
金额	jin e 
歧视	qi shi 
书记员	shu ji yuan 
自由	zi you 
视听资料	shi ting zi liao 
削减	xue jian 
政府	zheng fu 
全国人大	quan guo ren da 
无偿	wu chang 
情节	qing jie 
检察长	jian cha zhang 
渊源	yuan yuan 
内容	nei rong 
成文宪法	cheng wen xian fa 
仿效	fang xiao 
侵犯	qin fan 
清偿	qing chang 
原则	yuan ze 
计算	ji suan 
证券公司	zheng quan gong si 
发生	fa sheng 
法定	fa ding 
构建	gou jian 
经济法	jing ji fa 
思想观念	si xiang guan nian 
联系	lian xi 
国境	guo jing 
关于	guan yu 
国务委员	guo wu wei yuan 
能否	neng fou 
止付	zhi fu 
作出	zuo chu 
处罚金	chu fa jin 
第二审	di er shen 
刑事案件	xing shi an jian 
限制	xian zhi 
下级	xia ji 
询问	xun wen 
反倾销税	fan qing xiao shui 
民族乡	min zu xiang 
请求权	qing qiu quan 
自治	zi zhi 
发展中国家	fa zhan zhong guo jia 
天命	tian ming 
解除合同	jie chu he tong 
证据	zheng ju 
行政处罚	xing zheng chu fa 
使用	shi yong 
审查	shen cha 
地守持	di shou chi 
董事	dong shi 
拘传	ju chuan 
依法治国	yi fa zhi guo 
执行权	zhi xing quan 
司法制度	si fa zhi du 
知识产权	zhi shi chan quan 
一种	yi zhong 
未成年人	wei cheng nian ren 
体系	ti xi 
刑事诉讼	xing shi su song 
