微波	wei bo 
调节	tiao jie 
创伤	chuang shang 
多发性	duo fa xing 
监测	jian ce 
眼炎	yan yan 
脊柱	ji zhu 
水肿	shui zhong 
分泌物	fen mi wu 
测定	ce ding 
传染性	chuan ran xing 
无力	wu li 
平时	ping shi 
烟酒	yan jiu 
腰背	yao bei 
热敷	re fu 
隐形	yin xing 
消化吸收	xiao hua xi shou 
盲目	mang mu 
侧卧位	ce wo wei 
月经期	yue jing qi 
胸腺	xiong xian 
激素	ji su 
次数	ci shu 
长且	zhang qie 
喉镜	hou jing 
消融术	xiao rong shu 
发现	fa xian 
造影	zao ying 
肥皂	fei zao 
肾脏	shen zang 
眼科医院	yan ke yi yuan 
他乐克	ta le ke 
便秘	bian mi 
思维	si wei 
乳膏	ru gao 
周六	zhou liu 
松弛	song chi 
眼干	yan gan 
麻痹	ma bi 
慢性期	man xing qi 
混合性	hun he xing 
重建术	chong jian shu 
静脉	jing mai 
化疗	hua liao 
子宫颈癌	zi gong jing ai 
灌肠	guan chang 
数值	shu zhi 
反流性	fan liu xing 
脓肿	nong zhong 
心理咨询	xin li zi xun 
细菌	xi jun 
抗感染	kang gan ran 
图片	tu pian 
点药	dian yao 
潜血	qian xue 
严纵	yan zong 
关注	guan zhu 
津液	jin ye 
麦粒肿	mai li zhong 
充填	chong tian 
护肝降	hu gan jiang 
一段时间	yi duan shi jian 
眉尾	mei wei 
预防	yu fang 
贝拉	bei la 
冰糖	bing tang 
抓挠	zhua nao 
食物	shi wu 
彩超	cai chao 
轻音乐	qing yin yue 
脚气	jiao qi 
客气	ke qi 
日晒	ri shai 
劝告	quan gao 
精神科	jing shen ke 
理想	li xiang 
双侧	shuang ce 
以上	yi shang 
灰指甲	hui zhi jia 
外生殖器	wai sheng zhi qi 
毛囊炎	mao nang yan 
病毒性	bing du xing 
当地	dang di 
流血	liu xie 
根本性	gen ben xing 
表浅	biao qian 
疼痛	teng tong 
思密达	si mi da 
了解	liao jie 
两个	liang ge 
结肠镜	jie chang jing 
肾功能	shen gong neng 
滑石粉	hua shi fen 
保守	bao shou 
意见	yi jian 
胡退	hu tui 
机体	ji ti 
挂号	gua hao 
去除	qu chu 
阴道	yin dao 
成活率	cheng huo lv 
大多数	da duo shu 
过度	guo du 
建议	jian yi 
儿童	er tong 
水痘	shui dou 
抑郁症	yi yu zheng 
周四	zhou si 
附近	fu jin 
范围	fan wei 
铁质	tie zhi 
安定片	an ding pian 
松软	song ruan 
运动过度	yun dong guo du 
仔细观察	zi xi guan cha 
偏高	pian gao 
不错	bu cuo 
恶心	e xin 
适合	shi he 
臭味	chou wei 
肥胖	fei pang 
滴鼻	di bi 
伽马刀	ga ma dao 
苦参	ku shen 
二氧化碳	er yang hua tan 
供给	gong ji 
糜烂	mi lan 
红疹	hong zhen 
髌腱	bin jian 
出现	chu xian 
延长	yan chang 
休克	xiu ke 
保养	bao yang 
结膜炎	jie mo yan 
堵塞	du se 
清洁	qing jie 
阳性	yang xing 
腹腔镜	fu qiang jing 
位置	wei zhi 
疱疹	pao zhen 
综合症	zong he zheng 
固肠	gu chang 
眉峰	mei feng 
哪一天	na yi tian 
上呼吸道	shang hu xi dao 
抵抗力	di kang li 
目前	mu qian 
风湿性关节炎	feng shi xing guan jie yan 
术后	shu hou 
推出	tui chu 
洗脚	xi jiao 
照射	zhao she 
熬水	ao shui 
膝关节	xi guan jie 
逐渐	zhu jian 
公办	gong ban 
胃炎	wei yan 
妊娠	ren shen 
停用	ting yong 
性关系	xing guan xi 
畸形	ji xing 
室内外	shi nei wai 
生活习惯	sheng huo xi guan 
病情严重	bing qing yan zhong 
性生活	xing sheng huo 
血脂	xue zhi 
卵巢	luan chao 
干扰素	gan rao su 
应该	ying gai 
疗程	liao cheng 
龟龄集	gui ling ji 
颅内	lu nei 
益气健	yi qi jian 
风湿	feng shi 
罗米芬	luo mi fen 
病毒	bing du 
抗炎	kang yan 
早泄	zao xie 
黑芝麻	hei zhi ma 
医生	yi sheng 
内分泌	nei fen mi 
配方	pei fang 
肠蠕动	chang ru dong 
摆脱	bai tuo 
增大	zeng da 
发作	fa zuo 
耳部	er bu 
隐匿性	yin ni xing 
性传播	xing chuan bo 
柴胡	chai hu 
疗法	liao fa 
医院	yi yuan 
动脉血	dong mai xue 
支气管炎	zhi qi guan yan 
电烧	dian shao 
城市	cheng shi 
乙肝病毒	yi gan bing du 
采用	cai yong 
阴性	yin xing 
支原体	zhi yuan ti 
喷雾	pen wu 
敏感	min gan 
依据	yi ju 
微创	wei chuang 
大三阳	da san yang 
疗效	liao xiao 
优质	you zhi 
专业	zhuan ye 
鼻内	bi nei 
青蒿	qing hao 
甲亢	jia kang 
糖分	tang fen 
西红柿	xi hong shi 
表现	biao xian 
激光治疗	ji guang zhi liao 
红肿	hong zhong 
胆结石	dan jie shi 
钙化	gai hua 
切除	qie chu 
左耳	zuo er 
保健品	bao jian pin 
剥除	bao chu 
但是	dan shi 
筛查	shai cha 
男性	nan xing 
骨龄	gu ling 
神经痛	shen jing tong 
性行为	xing xing wei 
体内	ti nei 
专科医院	zhuan ke yi yuan 
精索	jing suo 
对乙酰氨基酚	dui yi xian an ji fen 
临床医学	lin chuang yi xue 
泌尿外科	mi niao wai ke 
再说	zai shuo 
盐分	yan fen 
肺癌	fei ai 
愉快	yu kuai 
结节性	jie jie xing 
溃疡性	kui yang xing 
葡萄糖酸钙	pu tao tang suan gai 
医嘱	yi zhu 
口服液	kou fu ye 
动作	dong zuo 
静脉注射	jing mai zhu she 
黏膜	nian mo 
炎症性	yan zheng xing 
挑食	tiao shi 
原发	yuan fa 
以免	yi mian 
乳头	ru tou 
肝功	gan gong 
帮到	bang dao 
煎炒	jian chao 
甲状腺肿	jia zhuang xian zhong 
射频	she pin 
造成	zao cheng 
滑膜炎	hua mo yan 
形态	xing tai 
摄入	she ru 
升高	sheng gao 
碎片	sui pian 
促性腺激	cu xing xian ji 
失调	shi tiao 
嘌呤	piao ling 
不必	bu bi 
骨折	gu zhe 
人流	ren liu 
润喉	run hou 
死亡	si wang 
开刀	kai dao 
确定	que ding 
辅食	fu shi 
地塞米松	di sai mi song 
迷路	mi lu 
免费	mian fei 
受孕	shou yun 
角膜	jiao mo 
用药	yong yao 
视诊	shi zhen 
胃部	wei bu 
明显	ming xian 
咽鼓管	yan gu guan 
超过	chao guo 
途径	tu jing 
氨酚	an fen 
祛除	qu chu 
电测	dian ce 
鼻腔	bi qiang 
场所	chang suo 
坚持	jian chi 
重睑	zhong jian 
体位	ti wei 
肇事者	zhao shi zhe 
肺叶	fei ye 
整体	zheng ti 
无菌	wu jun 
少精	shao jing 
咳敏分	ke min fen 
阑尾炎	lan wei yan 
硅酮	gui tong 
解决	jie jue 
应用	ying yong 
高峰期	gao feng qi 
不宜	bu yi 
院区	yuan qu 
痛经	tong jing 
局部	ju bu 
数分钟	shu fen zhong 
动脉硬化	dong mai ying hua 
血压高	xue ya gao 
电解质	dian jie zhi 
温开水	wen kai shui 
抗体	kang ti 
专门	zhuan men 
艾滋病	ai zi bing 
体表	ti biao 
符合	fu he 
静脉曲张	jing mai qu zhang 
辩证	bian zheng 
征象	zheng xiang 
方案	fang an 
干燥	gan zao 
药制剂	yao zhi ji 
那雄胺	na xiong an 
疾病	ji bing 
卫生	wei sheng 
新出	xin chu 
门诊	men zhen 
脑血管	nao xue guan 
脑水肿	nao shui zhong 
经量	jing liang 
听诊	ting zhen 
手术	shou shu 
忌食	ji shi 
成熟	cheng shu 
一旦	yi dan 
以及	yi ji 
泡泡	pao pao 
蛤蟆	ha ma 
全或无	quan huo wu 
精子	jing zi 
脚盆	jiao pen 
鼻塞	bi sai 
干净	gan jing 
谷类	gu lei 
干预	gan yu 
停停	ting ting 
脚部	jiao bu 
组织	zu zhi 
局限	ju xian 
侵犯	qin fan 
宝宝	bao bao 
中枢	zhong shu 
洛尔	luo er 
临床表现	lin chuang biao xian 
四肢	si zhi 
耳鸣	er ming 
胎盘	tai pan 
误区	wu qu 
青光眼	qing guang yan 
多动症	duo dong zheng 
中医	zhong yi 
脂溢	zhi yi 
发红	fa hong 
健脾	jian pi 
低蛋白	di dan bai 
肠系膜	chang xi mo 
服药	fu yao 
上睑	shang jian 
晕眩	yun xuan 
异常	yi chang 
胃肠炎	wei chang yan 
两侧	liang ce 
化学治疗	hua xue zhi liao 
性伴	xing ban 
脑瘫	nao tan 
血液循环	xue ye xun huan 
皮损	pi sun 
传染	chuan ran 
发病	fa bing 
髋关节	kuan guan jie 
新陈代谢	xin chen dai xie 
吃饱	chi bao 
意识	yi shi 
价格	jia ge 
油炸	you zha 
白芍	bai shao 
原因	yuan yin 
植皮	zhi pi 
止痛药	zhi tong yao 
乐观	le guan 
内膜	nei mo 
体液	ti ye 
植物	zhi wu 
涂抹	tu mo 
试管婴儿	shi guan ying er 
睡眠	shui mian 
身体	shen ti 
