希望	xi wang 
讨论一下	tao lun yi xia 
大家	da jia 
检查	jian cha 
麻烦	ma fan 
上半	shang ban 
自己	zi ji 
威胁	wei xie 
那店	na dian 
怎么	zen me 
超过	chao guo 
服务生	fu wu sheng 
行云流水	xing yun liu shui 
七个	qi ge 
告贵	gao gui 
公车站	gong che zhan 
利用	li yong 
大概	da gai 
不够	bu gou 
尚未	shang wei 
这是	zhe shi 
监控	jian kong 
然后	ran hou 
小时候	xiao shi hou 
看不懂	kan bu dong 
一言一行	yi yan yi xing 
订位	ding wei 
积成	ji cheng 
沟通	gou tong 
收到	shou dao 
觉得	jue de 
冲动	chong dong 
录影机	lu ying ji 
炒饭	chao fan 
建议	jian yi 
解决	jie jue 
既然	ji ran 
右转	you zhuan 
整天	zheng tian 
选择	xuan ze 
相当	xiang dang 
误会	wu hui 
艺术家	yi shu jia 
心里	xin li 
该不该	gai bu gai 
女朋友	nv peng you 
国立	guo li 
面见	mian jian 
有山	you shan 
图书馆	tu shu guan 
消息	xiao xi 
知道	zhi dao 
时候	shi hou 
晚饭	wan fan 
其实	qi shi 
时间	shi jian 
再加	zai jia 
至少	zhi shao 
过敏	guo min 
长得	zhang de 
解释	jie shi 
还是	hai shi 
简讯	jian xun 
买不到	mai bu dao 
这样	zhe yang 
八点钟	ba dian zhong 
游学	you xue 
万事如意	wan shi ru yi 
迟到	chi dao 
监狱	jian yu 
读书	du shu 
相片	xiang pian 
地被	di bei 
我们	wo men 
她们	ta men 
家长	jia zhang 
大学生	da xue sheng 
权利	quan li 
以外	yi wai 
匆忙	cong mang 
污染	wu ran 
打电话	da dian hua 
声音	sheng yin 
影响	ying xiang 
网络	wang luo 
处罚	chu fa 
妈妈	ma ma 
建立	jian li 
别忘了	bie wang le 
现在	xian zai 
哪个	nei ge 
功课	gong ke 
舞会	wu hui 
汉字	han zi 
拜托	bai tuo 
告诉	gao su 
寂寞	ji mo 
破坏	po huai 
再见	zai jian 
生子	sheng zi 
是因为	shi yin wei 
年轻	nian qing 
补习班	bu xi ban 
台北	tai bei 
睡觉	shui jiao 
品质	pin zhi 
生命	sheng ming 
了解	liao jie 
需要	xu yao 
没有	mei you 
对不起	dui bu qi 
完蛋	wan dan 
旅行	lv xing 
一大堆	yi da dui 
隔天	ge tian 
啤酒	pi jiu 
不是	bu shi 
应该	ying gai 
不想	bu xiang 
回忆	hui yi 
忍耐	ren nai 
重点	zhong dian 
政府	zheng fu 
迷路	mi lu 
我会	wo hui 
朋友	peng you 
得到	de dao 
教导	jiao dao 
留学	liu xue 
试试看	shi shi kan 
享受	xiang shou 
方寸大乱	fang cun da luan 
家里	jia li 
糊涂	hu tu 
唠叨	lao dao 
这份	zhe fen 
暑假	shu jia 
祝你开心	zhu ni kai xin 
电脑	dian nao 
教书	jiao shu 
很快	hen kuai 
开心	kai xin 
易之思	yi zhi si 
卧房	wo fang 
不理	bu li 
什么	shen me 
减少	jian shao 
健康	jian kang 
因为	yin wei 
女孩子	nv hai zi 
关著	guan zhu 
不好	bu hao 
天气	tian qi 
身体	shen ti 
终于	zhong yu 
地去	di qu 
一直	yi zhi 
努力	nu li 
测量	ce liang 
求求	qiu qiu 
空气污染	kong qi wu ran 
印象	yin xiang 
观察	guan cha 
不半工	bu ban gong 
交朋友	jiao peng you 
再也	zai ye 
师大	shi da 
那里	na li 
偷偷地	tou tou di 
弟弟	di di 
一只	yi zhi 
地图	di tu 
怎样	zen yang 
如此一来	ru ci yi lai 
心情	xin qing 
墙壁	qiang bi 
有海	you hai 
早餐	zao can 
尤其	you qi 
公馆	gong guan 
为了	wei le 
看著	kan zhu 
喝啤酒	he pi jiu 
此份	ci fen 
重男轻女	zhong nan qing nv 
妨碍	fang ai 
一起	yi qi 
职业妇女	zhi ye fu nv 
他们	ta men 
地位	di wei 
台湾	tai wan 
走路	zou lu 
方便	fang bian 
一边	yi bian 
真的	zhen de 
地好	di hao 
跳舞	tiao wu 
电话	dian hua 
请进来	qing jin lai 
要求	yao qiu 
还有	hai you 
稀薄	xi bo 
亲爱	qin ai 
受不了	shou bu liao 
纸条	zhi tiao 
不怎么	bu zen me 
意思	yi si 
办法	ban fa 
地方	di fang 
秋天	qiu tian 
学校	xue xiao 
比较	bi jiao 
情况	qing kuang 
做法	zuo fa 
过渡期	guo du qi 
记录	ji lu 
哪些	nei xie 
不必	bu bi 
实施	shi shi 
安静	an jing 
破洞	po dong 
怎么样	zen me yang 
接受	jie shou 
抱怨	bao yuan 
你们	ni men 
