新华社北京9月26日电 近日，中共中央、国务院印发了《乡村振兴战略规划（2018－2022年）》，并发出通知，要求各地区各部门结合实际认真贯彻落实。
《乡村振兴战略规划（2018－2022年）》主要内容如下。
目录
前言
第一篇　规划背景
第一章　重大意义
第二章　振兴基础
第三章　发展态势
第二篇　总体要求
第四章　指导思想和基本原则
    第一节　指导思想
    第二节　基本原则
第五章　发展目标
第六章　远景谋划
第三篇　构建乡村振兴新格局
第七章　统筹城乡发展空间
    第一节　强化空间用途管制
    第二节　完善城乡布局结构
    第三节　推进城乡统一规划
第八章　优化乡村发展布局
    第一节　统筹利用生产空间
    第二节　合理布局生活空间
    第三节　严格保护生态空间
第九章　分类推进乡村发展
    第一节　集聚提升类村庄
    第二节　城郊融合类村庄
    第三节　特色保护类村庄
    第四节　搬迁撤并类村庄
第十章　坚决打好精准脱贫攻坚战
    第一节　深入实施精准扶贫精准脱贫
    第二节　重点攻克深度贫困
    第三节　巩固脱贫攻坚成果
第四篇　加快农业现代化步伐
第十一章　夯实农业生产能力基础
    第一节　健全粮食安全保障机制
    第二节　加强耕地保护和建设
    第三节　提升农业装备和信息化水平
第十二章　加快农业转型升级
    第一节　优化农业生产力布局
    第二节　推进农业结构调整
    第三节　壮大特色优势产业
    第四节　保障农产品质量安全
    第五节　培育提升农业品牌
    第六节　构建农业对外开放新格局
第十三章　建立现代农业经营体系
    第一节　巩固和完善农村基本经营制度
    第二节　壮大新型农业经营主体
    第三节　发展新型农村集体经济
    第四节　促进小农户生产和现代农业发展有机衔接
第十四章　强化农业科技支撑
    第一节　提升农业科技创新水平
    第二节　打造农业科技创新平台基地
    第三节　加快农业科技成果转化应用
第十五章　完善农业支持保护制度
    第一节　加大支农投入力度
    第二节　深化重要农产品收储制度改革
    第三节　提高农业风险保障能力
第五篇　发展壮大乡村产业
第十六章　推动农村产业深度融合
    第一节　发掘新功能新价值
    第二节　培育新产业新业态
    第三节　打造新载体新模式
第十七章　完善紧密型利益联结机制
    第一节　提高农民参与程度
    第二节　创新收益分享模式
    第三节　强化政策扶持引导
第十八章　激发农村创新创业活力
    第一节　培育壮大创新创业群体
    第二节　完善创新创业服务体系
    第三节　建立创新创业激励机制
第六篇　建设生态宜居的美丽乡村
第十九章　推进农业绿色发展
    第一节　强化资源保护与节约利用
    第二节　推进农业清洁生产
    第三节　集中治理农业环境突出问题
第二十章　持续改善农村人居环境
    第一节　加快补齐突出短板
    第二节　着力提升村容村貌
    第三节　建立健全整治长效机制
第二十一章　加强乡村生态保护与修复
    第一节　实施重要生态系统保护和修复重大工程
    第二节　健全重要生态系统保护制度
    第三节　健全生态保护补偿机制
    第四节　发挥自然资源多重效益
第七篇　繁荣发展乡村文化
第二十二章　加强农村思想道德建设
    第一节　践行社会主义核心价值观
    第二节　巩固农村思想文化阵地
    第三节　倡导诚信道德规范
第二十三章　弘扬中华优秀传统文化
    第一节　保护利用乡村传统文化
    第二节　重塑乡村文化生态
    第三节　发展乡村特色文化产业
第二十四章　丰富乡村文化生活
    第一节　健全公共文化服务体系
    第二节　增加公共文化产品和服务供给
    第三节　广泛开展群众文化活动
第八篇　健全现代乡村治理体系
第二十五章　加强农村基层党组织对乡村振兴的全面领导
    第一节　健全以党组织为核心的组织体系
    第二节　加强农村基层党组织带头人队伍建设
    第三节　加强农村党员队伍建设
    第四节　强化农村基层党组织建设责任与保障
第二十六章　促进自治法治德治有机结合
    第一节　深化村民自治实践
    第二节　推进乡村法治建设
    第三节　提升乡村德治水平
    第四节　建设平安乡村
第二十七章　夯实基层政权
    第一节　加强基层政权建设
    第二节　创新基层管理体制机制
    第三节　健全农村基层服务体系
第九篇　保障和改善农村民生
第二十八章　加强农村基础设施建设
    第一节　改善农村交通物流设施条件
    第二节　加强农村水利基础设施网络建设
    第三节　构建农村现代能源体系
    第四节　夯实乡村信息化基础
第二十九章　提升农村劳动力就业质量
    第一节　拓宽转移就业渠道
    第二节　强化乡村就业服务
    第三节　完善制度保障体系
第三十章　增加农村公共服务供给
    第一节　优先发展农村教育事业
    第二节　推进健康乡村建设
    第三节　加强农村社会保障体系建设
    第四节　提升农村养老服务能力
    第五节　加强农村防灾减灾救灾能力建设
第十篇　完善城乡融合发展政策体系
第三十一章　加快农业转移人口市民化
    第一节　健全落户制度
    第二节　保障享有权益
    第三节　完善激励机制
第三十二章　强化乡村振兴人才支撑
    第一节　培育新型职业农民
    第二节　加强农村专业人才队伍建设
    第三节　鼓励社会人才投身乡村建设
第三十三章　加强乡村振兴用地保障
    第一节　健全农村土地管理制度
    第二节　完善农村新增用地保障机制
    第三节　盘活农村存量建设用地
第三十四章　健全多元投入保障机制
    第一节　继续坚持财政优先保障
    第二节　提高土地出让收益用于农业农村比例
    第三节　引导和撬动社会资本投向农村
第三十五章　加大金融支农力度
    第一节　健全金融支农组织体系
    第二节　创新金融支农产品和服务
    第三节　完善金融支农激励政策
第十一篇　规划实施
第三十六章　加强组织领导
    第一节　落实各方责任
    第二节　强化法治保障
    第三节　动员社会参与
    第四节　开展评估考核
第三十七章　有序实现乡村振兴
    第一节　准确聚焦阶段任务
    第二节　科学把握节奏力度
    第三节　梯次推进乡村振兴
前言
党的十九大提出实施乡村振兴战略，是以习近平同志为核心的党中央着眼党和国家事业全局，深刻把握现代化建设规律和城乡关系变化特征，顺应亿万农民对美好生活的向往，对“三农”工作作出的重大决策部署，是决胜全面建成小康社会、全面建设社会主义现代化国家的重大历史任务，是新时代做好“三农”工作的总抓手。从党的十九大到二十大，是“两个一百年”奋斗目标的历史交汇期，既要全面建成小康社会、实现第一个百年奋斗目标，又要乘势而上开启全面建设社会主义现代化国家新征程，向第二个百年奋斗目标进军。为贯彻落实党的十九大、中央经济工作会议、中央农村工作会议精神和政府工作报告要求，描绘好战略蓝图，强化规划引领，科学有序推动乡村产业、人才、文化、生态和组织振兴，根据《中共中央、国务院关于实施乡村振兴战略的意见》，特编制《乡村振兴战略规划（2018－2022年）》。
本规划以习近平总书记关于“三农”工作的重要论述为指导，按照产业兴旺、生态宜居、乡风文明、治理有效、生活富裕的总要求，对实施乡村振兴战略作出阶段性谋划，分别明确至2020年全面建成小康社会和2022年召开党的二十大时的目标任务，细化实化工作重点和政策措施，部署重大工程、重大计划、重大行动，确保乡村振兴战略落实落地，是指导各地区各部门分类有序推进乡村振兴的重要依据。
第一篇　规划背景
党的十九大作出中国特色社会主义进入新时代的科学论断，提出实施乡村振兴战略的重大历史任务，在我国“三农”发展进程中具有划时代的里程碑意义，必须深入贯彻习近平新时代中国特色社会主义思想和党的十九大精神，在认真总结农业农村发展历史性成就和历史性变革的基础上，准确研判经济社会发展趋势和乡村演变发展态势，切实抓住历史机遇，增强责任感、使命感、紧迫感，把乡村振兴战略实施好。
第一章　重大意义
