
国办函〔2019〕66号

发展改革委：
你委关于建立完善促进消费体制机制部际联席会议制度的请示收悉。经国务院同意，现函复如下：
国务院同意建立由发展改革委牵头的完善促进消费体制机制部际联席会议制度。联席会议不刻制印章，不正式行文，请按照党中央、国务院有关文件精神认真组织开展工作。

附件：完善促进消费体制机制部际联席会议制度
国务院办公厅          
2019年7月15日          
（此件公开发布）

附件

完善促进消费体制机制部际联席会议制度

为贯彻落实《中共中央　国务院关于完善促进消费体制机制进一步激发居民消费潜力的若干意见》，加强对促进消费工作的统筹协调，经国务院同意，建立完善促进消费体制机制部际联席会议（以下简称联席会议）制度。
一、主要职责
在党中央、国务院领导下，统筹协调促进居民消费扩大升级工作，加强消费形势监测分析，研究提出扩消费政策建议和年度重点工作安排，推动政策措施落实，协调解决工作中遇到的问题，完成党中央、国务院交办的其他事项。
二、成员单位
联席会议由发展改革委、中央宣传部、科技部、工业和信息化部、公安部、民政部、司法部、财政部、人力资源社会保障部、自然资源部、生态环境部、住房城乡建设部、交通运输部、农业农村部、商务部、文化和旅游部、卫生健康委、人民银行、海关总署、税务总局、市场监管总局、广电总局、体育总局、统计局、医保局、银保监会等26个部门和单位组成，发展改革委为牵头单位。
联席会议由发展改革委主要负责同志担任召集人，发展改革委、商务部、市场监管总局有关负责同志担任副召集人，其他成员单位有关负责同志为联席会议成员（名单附后）。联席会议成员因工作变动需要调整的，由所在单位提出，联席会议确定。联席会议可根据工作需要增加成员单位。
联席会议办公室设在发展改革委，承担联席会议日常工作。联席会议设联络员，由各成员单位有关司局负责同志担任。
三、工作规则
联席会议根据工作需要定期或不定期召开会议，由召集人或召集人委托副召集人主持。成员单位根据工作需要可以提出召开会议的建议。研究具体工作事项时，可视情况召集部分成员单位参加会议，也可邀请有关地方、其他部门和单位以及相关专家参加会议。联席会议以纪要形式明确会议议定事项并印发有关方面。重大事项按程序向党中央、国务院请示报告。
四、工作要求
发展改革委要牵头做好联席会议各项工作。各成员单位要互通信息、密切配合、相互支持、形成合力，认真落实联席会议议定事项，将党中央、国务院决策部署落到实处。联席会议办公室要加强联席会议议定事项的跟踪督促落实，及时向各成员单位通报有关情况。

完善促进消费体制机制
部际联席会议成员名单

召 集 人：何立峰　　发展改革委主任
副召集人：胡祖才　　发展改革委副主任
　　　　　王炳南　　商务部副部长
　　　　　秦宜智　　市场监管总局副局长
成　　员：梁言顺　　中央宣传部副部长
　　　　　王　曦　　科技部副部长
　　　　　陈肇雄　　工业和信息化部副部长
　　　　　许甘露　　公安部副部长
　　　　　高晓兵　　民政部副部长
　　　　　刘　炤　　司法部副部长
　　　　　余蔚平　　财政部副部长
　　　　　张义全　　人力资源社会保障部副部长
　　　　　王广华　　自然资源部副部长
　　　　　庄国泰　　生态环境部副部长
　　　　　倪　虹　　住房城乡建设部副部长
　　　　　王志清　　交通运输部党组成员、总规划师
　　　　　屈冬玉　　农业农村部副部长
　　　　　王晓峰　　文化和旅游部党组成员
　　　　　于学军　　卫生健康委副主任
　　　　　朱鹤新　　人民银行副行长
　　　　　邹志武　　海关总署副署长
　　　　　孙瑞标　　税务总局副局长
　　　　　范卫平　　广电总局副局长
　　　　　李颖川　　体育总局副局长
　　　　　毛有丰　　统计局副局长
　　　　　陈金甫　　医保局副局长
　　　　　周　亮　　银保监会副主席
