工作	gong zuo 
关于	guan yu 
国务院	guo wu yuan 
发展	fa zhan 
国家	guo jia 
部门	bu men 
应当	ying dang 
建设	jian she 
加强	jia qiang 
改革	gai ge 
有关	you guan 
管理	guan li 
企业	qi ye 
通知	tong zhi 
国务院办公厅	guo wu yuan ban gong ting 
组织	zu zhi 
服务	fu wu 
规定	gui ding 
推进	tui jin 
实施	shi shi 
政府	zheng fu 
单位	dan wei 
制度	zhi du 
创新	chuang xin 
负责	fu ze 
完善	wan shan 
机构	ji gou 
相关	xiang guan 
开展	kai zhan 
职责	zhi ze 
地方	di fang 
信息	xin xi 
社会	she hui 
情况	qing kuang 
政策	zheng ce 
机制	ji zhi 
支持	zhi chi 
按照	an zhao 
人民政府	ren min zheng fu 
建立	jian li 
问题	wen ti 
意见	yi jian 
制定	zhi ding 
地区	di qu 
行政	xing zheng 
推动	tui dong 
安全	an quan 
监管	jian guan 
体系	ti xi 
主任	zhu ren 
落实	luo shi 
机关	ji guan 
批复	pi fu 
进行	jin xing 
依法	yi fa 
保障	bao zhang 
坚持	jian chi 
责任	ze ren 
中国	zhong guo 
领导	ling dao 
指导	zhi dao 
监督	jian du 
促进	cu jin 
生产	sheng chan 
重大	zhong da 
委员会	wei yuan hui 
要求	yao qiu 
标准	biao zhun 
条例	tiao li 
健康	jian kang 
中央	zhong yang 
加快	jia kuai 
规划	gui hua 
提升	ti sheng 
党委	dang wei 
印发	yin fa 
教育	jiao yu 
办公室	ban gong shi 
事项	shi xiang 
重点	zhong dian 
农业	nong ye 
产业	chan ye 
提高	ti gao 
项目	xiang mu 
分工负责	fen gong fu ze 
保护	bao hu 
经济	jing ji 
全国	quan guo 
同意	tong yi 
全面	quan mian 
使用	shi yong 
决定	jue ding 
能力	neng li 
投资	tou zi 
进一步	jin yi bu 
审批	shen pi 
公开	gong kai 
干部	gan bu 
人员	ren yuan 
强化	qiang hua 
协调	xie tiao 
及时	ji shi 
可以	ke yi 
调整	tiao zheng 
技术	ji shu 
财政部	cai zheng bu 
综合	zong he 
研究	yan jiu 
领域	ling yu 
法规	fa gui 
方式	fang shi 
以上	yi shang 
牵头	qian tou 
规范	gui fan 
医院	yi yuan 
市场	shi chang 
提供	ti gong 
书记	shu ji 
质量	zhi liang 
农村	nong cun 
