各省	ge sheng 
吉林省人民政府	ji lin sheng ren min zheng fu 
努力	nu li 
听证	ting zheng 
申报材料	shen bao cai liao 
事务所	shi wu suo 
安全隐患	an quan yin huan 
经纪人	jing ji ren 
开放政策	kai fang zheng ce 
由原	you yuan 
再制造	zai zhi zao 
副县长	fu xian zhang 
地坛	di tan 
样板	yang ban 
突发性	tu fa xing 
常务会议	chang wu hui yi 
环保局	huan bao ju 
副职	fu zhi 
五一	wu yi 
公平	gong ping 
优化	you hua 
明年	ming nian 
怒江傈僳族自治州	nu jiang li su zu zi zhi zhou 
辽河流域	liao he liu yu 
中共中央政治局	zhong gong zhong yang zheng zhi ju 
经过	jing guo 
所得额	suo de e 
累计	lei ji 
权等	quan deng 
一位	yi wei 
南京市	nan jing shi 
国家机关	guo jia ji guan 
助力	zhu li 
学懂	xue dong 
照后	zhao hou 
民族地区	min zu di qu 
党务公开	dang wu gong kai 
施药	shi yao 
得分	de fen 
接访	jie fang 
小康社会	xiao kang she hui 
海东	hai dong 
正能量	zheng neng liang 
国家综合立体交通网	guo jia zong he li ti jiao tong wang 
黔江区	qian jiang qu 
预防性	yu fang xing 
卫勤部	wei qin bu 
昆明市	kun ming shi 
检查组	jian cha zu 
奢靡	she mi 
河东区	he dong qu 
运力	yun li 
审改	shen gai 
乌鲁木齐市	wu lu mu qi shi 
材料科学	cai liao ke xue 
中关村	zhong guan cun 
云南省人民政府	yun nan sheng ren min zheng fu 
锅炉	guo lu 
视为	shi wei 
维修	wei xiu 
实施方案	shi shi fang an 
转企	zhuan qi 
并报	bing bao 
高新技术	gao xin ji shu 
公共设施	gong gong she shi 
无法	wu fa 
卫生计生委	wei sheng ji sheng wei 
较差	jiao cha 
居住	ju zhu 
生命安全	sheng ming an quan 
精准化	jing zhun hua 
矿产资源	kuang chan zi yuan 
核查	he cha 
以用	yi yong 
数字家庭	shu zi jia ting 
主导产业	zhu dao chan ye 
信念	xin nian 
党政部门	dang zheng bu men 
回访	hui fang 
总指挥部	zong zhi hui bu 
不断丰富	bu duan feng fu 
内生	nei sheng 
家村	jia cun 
更新	geng xin 
撤离	che li 
传统产业	chuan tong chan ye 
医学专业	yi xue zhuan ye 
正线	zheng xian 
农作物	nong zuo wu 
绥化市	sui hua shi 
潜在	qian zai 
广宁县	guang ning xian 
起及	qi ji 
交售	jiao shou 
退伍军人	tui wu jun ren 
海洋	hai yang 
清费	qing fei 
地图	di tu 
第六十三条	di liu shi san tiao 
偿还债务	chang huan zhai wu 
打赢	da ying 
切实做好	qie shi zuo hao 
消防站	xiao fang zhan 
公路局	gong lu ju 
老少边穷	lao shao bian qiong 
金融交易	jin rong jiao yi 
水利水电	shui li shui dian 
退化	tui hua 
委按	wei an 
啤酒	pi jiu 
虚假	xu jia 
特勤	te qin 
挖潜	wa qian 
人防	ren fang 
东湖	dong hu 
不断	bu duan 
品牌	pin pai 
科目	ke mu 
处于	chu yu 
乐山市	le shan shi 
校核	jiao he 
温泉镇	wen quan zhen 
易行	yi xing 
深圳湾	shen zhen wan 
预防	yu fang 
不利于	bu li yu 
可视化	ke shi hua 
占比	zhan bi 
压实	ya shi 
复审	fu shen 
产学研	chan xue yan 
美丽	mei li 
地方政府债务	di fang zheng fu zhai wu 
平安	ping an 
因公负伤	yin gong fu shang 
遵守	zun shou 
学术交流	xue shu jiao liu 
清水河县	qing shui he xian 
副处长	fu chu zhang 
症状	zheng zhuang 
扑火	pu huo 
调查研究	diao cha yan jiu 
注重	zhu zhong 
构筑物	gou zhu wu 
淮阳	huai yang 
知情权	zhi qing quan 
关联交易	guan lian jiao yi 
储备库	chu bei ku 
根本	gen ben 
整体素质	zheng ti su zhi 
深远	shen yuan 
漳州市	zhang zhou shi 
大化	da hua 
分立	fen li 
封存	feng cun 
跨界	kua jie 
第六次	di liu ci 
债务人	zhai wu ren 
东营	dong ying 
地向	di xiang 
利用率	li yong lv 
群工	qun gong 
交通工具	jiao tong gong ju 
北京大学第一医院	bei jing da xue di yi yi yuan 
玉溪市	yu xi shi 
第四条	di si tiao 
煤矿安全	mei kuang an quan 
回报	hui bao 
文物	wen wu 
本金	ben jin 
流通	liu tong 
建设项目	jian she xiang mu 
装饰	zhuang shi 
综合利用	zong he li yong 
液体	ye ti 
哈尔滨	ha er bin 
国际经济组织	guo ji jing ji zu zhi 
中国共产党	zhong guo gong chan dang 
亿万	yi wan 
尼玛	ni ma 
及时	ji shi 
所属单位	suo shu dan wei 
议事日程	yi shi ri cheng 
余项	yu xiang 
事迹	shi ji 
本细则	ben xi ze 
贸促	mao cu 
易地	yi di 
麻醉	ma zui 
苍梧县	cang wu xian 
厂长	chang zhang 
文字说明	wen zi shuo ming 
领跑	ling pao 
标杆	biao gan 
高新区	gao xin qu 
社会风尚	she hui feng shang 
政治路线	zheng zhi lu xian 
阳泉市	yang quan shi 
缩短	suo duan 
传递	chuan di 
检疫	jian yi 
四处	si chu 
南充市	nan chong shi 
石油化工	shi you hua gong 
置于	zhi yu 
附加	fu jia 
教职	jiao zhi 
要点	yao dian 
植被	zhi bei 
采纳	cai na 
证据规则	zheng ju gui ze 
小额	xiao e 
水利厅	shui li ting 
八个	ba ge 
重在	zhong zai 
管理机构	guan li ji gou 
气暖	qi nuan 
万荣县	wan rong xian 
不力	bu li 
安全事件	an quan shi jian 
顺应	shun ying 
机务段	ji wu duan 
海南	hai nan 
影响	ying xiang 
搬迁	ban qian 
管理厅	guan li ting 
举办者	ju ban zhe 
莲花县	lian hua xian 
